#00ae3d
#823fed
#cab000
#002eba
#ff7b06
#014fa3
#ce0007
#00cda0
#ff81ff
#554800
#a30071
#dbc672
#4a0e2a
#b36a00
#004a35
#ff698d
#e3b0bc
#9a0032
