#5fb4e6
#fef9aa
#7cb5fa
#dcd185
#98baff
#d0dd90
#cfb6fe
#cfeda2
#ddb1f6
#8ec88a
#e2a3e1
#a7f6c0
#e691be
#89ffe9
#f3a4d9
#7ad5a8
#ffb8f1
#97dda3
#ffabca
#49c0a5
#ffa2af
#54e1d9
#f59a88
#4ee7f1
#fca889
#2ccbf0
#e7b577
#41b8e0
#c8a763
#7cafe8
#ffdb9a
#00c3da
#db9e74
#75f6ff
#e595a6
#7ffff9
#e49798
#63e2ce
#d29bc0
#ceffc1
#b2a3db
#a9cc85
#adc1ff
#96b672
#ffcfff
#74ba8d
#d1caff
#8cb782
#9dc8ff
#ffd099
#a4ddff
#fff0b2
#8faed2
#fff6ce
#c0a1c6
#aaffe7
#d5a082
#abfaff
#c4a77b
#d6d7ff
#abaf7c
#c4deff
#70ba9e
#ffc7df
#62b9bc
#ffc9d2
#7bb7a5
#ffe0f8
#9fb190
#b3a5ca
#e6ffd6
#9fabcd
#c6ffe3
#c7a1b0
#d7ffef
#b0abc7
#c4f6ff
#f8cfd3
#7db4c6
#c7b2ca
#b0c4de
#d6d0ed
